Código ISIC Divisão,Descrição ISIC Divisão,Código ISIC Grupo,Descrição ISIC Grupo,2023 - Valor FOB (US$),2022 - Valor FOB (US$),2021 - Valor FOB (US$),2020 - Valor FOB (US$),2019 - Valor FOB (US$),2018 - Valor FOB (US$),2017 - Valor FOB (US$),2016 - Valor FOB (US$),2015 - Valor FOB (US$),2014 - Valor FOB (US$),2013 - Valor FOB (US$),2012 - Valor FOB (US$)
29,"Fabricação de veículos automóveis, reboques e semi-reboques",292,Fabricação de carroçarias para veículos automóveis; fabricação de reboques e semi-reboques,418805679,570041638,337577955,257893909,374708532,423514521,424400487,336884227,355476200,396800659,430687584,469917196
10,Fabricação de produtos alimentícios,108,Fabrico de alimentos para animais preparados,380056075,446952985,423772183,321232859,275420978,278605877,267519578,225391955,208687332,240108292,216985594,168862269
32,Outras manufaturas,325,Fabricação de instrumentos e suprimentos médicos e odontológicos,374173272,401545004,358414091,351572539,319932876,294754668,294951783,256345219,313742283,328752492,323621784,329062801
27,Fabricação de equipamentos elétricos,279,Fabricação de outro equipamento elétrico,347516421,319118974,260615399,226172909,255181068,245278728,275851476,224634766,265754402,285172919,284221609,326711927
13,Fabricação de têxteis,139,Fabricação de outros têxteis,325722945,450434090,413209168,380239612,373823482,395180780,451703734,415967494,473942271,525441734,578086741,623396450
32,Outras manufaturas,321,"Fabricação de joalharia, bijuteria e artigos afins",296708418,340009280,327062758,217086301,320723732,294174182,289760488,276535189,259482475,287894696,316998512,287567965
10,Fabricação de produtos alimentícios,102,"Processamento e conservação de peixes, crustáceos e moluscos",257570677,335830174,325164577,243924795,272328783,221174701,211262697,198576004,185965065,179834862,196624954,190734619
26,"Fabricação de produtos informáticos, eletrônicos e ópticos",261,Fabricação de componentes eletrônicos e placas,249197207,270870752,257978112,235056194,235401656,301598155,309559528,271830359,339465291,313754847,322026857,296126107
08,Extração de outros minerais,081,"Extração de pedra, areia e argila",247663323,370694431,325498070,286917147,335728445,386910154,387395236,395372586,415679507,485719143,531826676,494577604
23,Fabricação de outros produtos minerais não metálicos,231,Fabricação de produtos de vidro e vidro,243744762,293812053,241488166,189202117,204016725,255338913,273005666,267132765,281729234,249242962,267361862,278965918
13,Fabricação de têxteis,131,"Fiação, tecelagem e acabamento de têxteis",233979360,349522377,330614330,204595218,291094388,297509614,295421260,342808143,348610378,350224173,343655718,353418793
90,"Atividades criativas, artes e entretenimento",900,"Atividades criativas, artes e entretenimento",218687176,206187674,173117146,60228607,388973946,324898439,187136038,197372095,112164927,81569630,121843777,46172048
11,Fabricação de bebidas,110,Fabricação de bebidas,213082657,230883178,223947176,155850857,149709093,156777221,168961476,137070023,145837433,170700456,144974153,129808996
26,"Fabricação de produtos informáticos, eletrônicos e ópticos",263,Fabricação de equipamentos de comunicação,197328386,329499742,279569126,278709474,289604077,240250826,259925496,219837431,298298169,345263398,518988126,673126100
25,"Fabricação de produtos metálicos fabricados, exceto máquinas e equipamentos",251,"Fabricação de produtos metálicos estruturais, tanques, reservatórios e geradores de vapor",180041431,148052941,243186083,173035191,185510920,159696093,206774824,273984714,234279680,292202636,309245954,318940599
27,Fabricação de equipamentos elétricos,272,Fabricação de baterias e acumuladores,166840704,204327104,205839279,129295286,109504065,140973818,154256184,143803884,135041353,141552377,154343793,144258713
27,Fabricação de equipamentos elétricos,275,Fabricação de eletrodomésticos,164828082,205824956,232877530,151121914,172345008,180490276,195422930,160912144,163517492,184627285,231961953,246999766
32,Outras manufaturas,329,Outras manufaturas n.c,157727436,211436291,185428371,165050696,175883363,164036946,183683372,223733350,193263550,202555173,186764982,210242471
14,Fabricação de vestuário,141,Fabricação de vestuário exceto vestuários de peles,149303051,184533623,152880863,108494784,146781245,132784201,135526351,119352034,125535301,142770770,149736206,152821773
26,"Fabricação de produtos informáticos, eletrônicos e ópticos",262,Fabricação de computadores e equipamentos periféricos,141942455,145796650,116967331,97015598,197321209,236418498,177118230,210359869,157401772,175680985,247170772,235751645
02,Silvicultura e exploração madeireira,022,Exploração madeireira,141360663,197143504,227893580,122618419,93524113,64835649,51843313,41447350,33796287,24895874,12548990,9355744
30,Fabricação de outro equipamento de transporte,309,Fabricação de equipamentos de transporte n.c,135947613,171878686,160505455,92993077,106888025,161342630,179601418,131091107,153998466,202964650,241849967,225128536
26,"Fabricação de produtos informáticos, eletrônicos e ópticos",264,Fabricação de produtos eletrônicos de consumo,108755624,131105782,108139688,92608014,104329751,84459680,73917239,69115399,123441309,108589498,111429008,132201818
20,Fabricação de produtos químicos,203,Fabricação de fibras sintéticas ou artificiais,98595532,152563781,149294079,95465956,86520500,86575714,94503475,86335042,92430254,130858076,146229506,134159837
10,Fabricação de produtos alimentícios,105,Fabricação de produtos lácteos,92126495,128888387,98611285,70129083,56472302,55976667,102565492,161502759,305913210,330284904,93246629,92593210
